,Season,Tm,log(PER * MP)
0,1998-1999,ATL,12.276270499997812
1,1998-1999,BOS,12.259174764369018
2,1998-1999,CHH,12.313775534047501
3,1998-1999,CHI,12.077994901169477
4,1998-1999,CLE,12.212008233754322
5,1998-1999,DAL,12.307215408388993
6,1998-1999,DEN,12.308415231697525
7,1998-1999,DET,12.34381448699338
8,1998-1999,GSW,12.250736772642982
9,1998-1999,HOU,12.380056808319031
10,1998-1999,IND,12.415356310780496
11,1998-1999,LAC,12.214218381466267
12,1998-1999,LAL,12.351953560859734
13,1998-1999,MIA,12.35956626636301
14,1998-1999,MIL,12.314786171312107
15,1998-1999,MIN,12.271426036030718
16,1998-1999,NJN,12.208014272732711
17,1998-1999,NYK,12.252608334866233
18,1998-1999,ORL,12.307259943166397
19,1998-1999,PHI,12.322975189212487
20,1998-1999,PHO,12.387380562270817
21,1998-1999,POR,12.378436891607707
22,1998-1999,SAC,12.341581232230942
23,1998-1999,SAS,12.405809885111633
24,1998-1999,SEA,12.33265031344107
25,1998-1999,TOR,12.32895947717385
26,1998-1999,UTA,12.390781828881837
27,1998-1999,VAN,12.211047952644135
28,1998-1999,WAS,12.26896321558594
29,1999-2000,ATL,12.7395909935701
30,1999-2000,BOS,12.76978757129412
31,1999-2000,CHH,12.825660830317926
32,1999-2000,CHI,12.427043647915365
33,1999-2000,CLE,12.682786288733764
34,1999-2000,DAL,12.805764125182643
35,1999-2000,DEN,12.735039263447815
36,1999-2000,DET,12.807959458682536
37,1999-2000,GSW,12.590890157859295
38,1999-2000,HOU,12.750477490663725
39,1999-2000,IND,12.845424772354557
40,1999-2000,LAC,12.628448941042105
41,1999-2000,LAL,12.867657408388776
42,1999-2000,MIA,12.788217434634744
43,1999-2000,MIL,12.827450256290012
44,1999-2000,MIN,12.848598396518424
45,1999-2000,NJN,12.792962246898131
46,1999-2000,NYK,12.735951140301658
47,1999-2000,ORL,12.739777536705411
48,1999-2000,PHI,12.736720152718197
49,1999-2000,PHO,12.78202817506945
50,1999-2000,POR,12.858635195743243
51,1999-2000,SAC,12.819188268762803
52,1999-2000,SAS,12.828422978671956
53,1999-2000,SEA,12.79761295173257
54,1999-2000,TOR,12.808691048200979
55,1999-2000,UTA,12.834365429795538
56,1999-2000,VAN,12.709706957816955
57,1999-2000,WAS,12.727472621684527
58,2000-2001,ATL,12.5796549086978
59,2000-2001,BOS,12.729855519453993
60,2000-2001,CHH,12.823403394465986
61,2000-2001,CHI,12.67731825236617
62,2000-2001,CLE,12.707476776478007
63,2000-2001,DAL,12.85743652113503
64,2000-2001,DEN,12.813795752017816
65,2000-2001,DET,12.702810873664319
66,2000-2001,GSW,12.655431523785062
67,2000-2001,HOU,12.8712015275706
68,2000-2001,IND,12.8030216144385
69,2000-2001,LAC,12.775660537085237
70,2000-2001,LAL,12.888329917476181
71,2000-2001,MIA,12.768021527912234
72,2000-2001,MIL,12.90833323363378
73,2000-2001,MIN,12.871719575224361
74,2000-2001,NJN,12.70543471468117
75,2000-2001,NYK,12.762008128731486
76,2000-2001,ORL,12.800491254111584
77,2000-2001,PHI,12.80999726318718
78,2000-2001,PHO,12.7659599000103
79,2000-2001,POR,12.887540567062116
80,2000-2001,SAC,12.918887222306164
81,2000-2001,SAS,12.910072726690103
82,2000-2001,SEA,12.864353969663926
83,2000-2001,TOR,12.861110637921838
84,2000-2001,UTA,12.86527305008239
85,2000-2001,VAN,12.714489044575263
86,2000-2001,WAS,12.564513912488406
87,2001-2002,ATL,12.6755364336937
88,2001-2002,BOS,12.72464872949237
89,2001-2002,CHH,12.771238167474204
90,2001-2002,CHI,12.465841942228986
91,2001-2002,CLE,12.745393985924947
92,2001-2002,DAL,12.817770167437088
93,2001-2002,DEN,12.547348290652375
94,2001-2002,DET,12.778302559774495
95,2001-2002,GSW,12.71721991081048
96,2001-2002,HOU,12.718071519939425
97,2001-2002,IND,12.73804217196708
98,2001-2002,LAC,12.770464411119995
99,2001-2002,LAL,12.85484553923625
100,2001-2002,MEM,12.647398683911346
101,2001-2002,MIA,12.643735105383922
102,2001-2002,MIL,12.79323848710386
103,2001-2002,MIN,12.82280995002711
104,2001-2002,NJN,12.776579243930387
105,2001-2002,NYK,12.660707840857647
106,2001-2002,ORL,12.76617331345452
107,2001-2002,PHI,12.731404523489335
108,2001-2002,PHO,12.717893167910017
109,2001-2002,POR,12.809953493634357
110,2001-2002,SAC,12.86990204670974
111,2001-2002,SAS,12.815041366272396
112,2001-2002,SEA,12.827443290915756
113,2001-2002,TOR,12.727200479236581
114,2001-2002,UTA,12.759802368955823
115,2001-2002,WAS,12.711566387419593
116,2002-2003,ATL,12.755460184328463
117,2002-2003,BOS,12.735543985489851
118,2002-2003,CHI,12.706817247449202
119,2002-2003,CLE,12.643314773152452
120,2002-2003,DAL,12.931974136844817
121,2002-2003,DEN,12.416643192064276
122,2002-2003,DET,12.802513136939158
123,2002-2003,GSW,12.863173930756965
124,2002-2003,HOU,12.82512904695997
125,2002-2003,IND,12.82806645898148
126,2002-2003,LAC,12.693972839662402
127,2002-2003,LAL,12.86064147553774
128,2002-2003,MEM,12.818623489747074
129,2002-2003,MIA,12.644281392193642
130,2002-2003,MIL,12.853729881139571
131,2002-2003,MIN,12.845141758110406
132,2002-2003,NJN,12.80208578292762
133,2002-2003,NOH,12.791330163305714
134,2002-2003,NYK,12.76812747405209
135,2002-2003,ORL,12.760665161617112
136,2002-2003,PHI,12.837056825049391
137,2002-2003,PHO,12.797137064692151
138,2002-2003,POR,12.850250091036516
139,2002-2003,SAC,12.871037087309071
140,2002-2003,SAS,12.85466146231955
141,2002-2003,SEA,12.779899989351941
142,2002-2003,TOR,12.694440100422762
143,2002-2003,UTA,12.830240319549775
144,2002-2003,WAS,12.782400400570024
145,2003-2004,ATL,12.711819862804921
146,2003-2004,BOS,12.718209754954065
147,2003-2004,CHI,12.560877832020232
148,2003-2004,CLE,12.717640451692995
149,2003-2004,DAL,12.994319689847078
150,2003-2004,DEN,12.848554332047549
151,2003-2004,DET,12.806732207849285
152,2003-2004,GSW,12.811976486884248
153,2003-2004,HOU,12.762101014881724
154,2003-2004,IND,12.849383808338484
155,2003-2004,LAC,12.763277455226712
156,2003-2004,LAL,12.844802903764167
157,2003-2004,MEM,12.876272905805036
158,2003-2004,MIA,12.770470222467894
159,2003-2004,MIL,12.833324724442297
