Season,Tm,PER_MP
1998-1999,ATL,17878.67337972087
1998-1999,BOS,17575.62212914128
1998-1999,CHH,18561.946636260185
1998-1999,CHI,14663.082969418423
1998-1999,CLE,16765.88731221167
1998-1999,DAL,18440.57647089373
1998-1999,DEN,18462.71518298182
1998-1999,DET,19127.98714727411
1998-1999,GSW,17427.94310843725
1998-1999,HOU,19833.9453134723
1998-1999,IND,20546.57749898172
1998-1999,LAC,16802.983378486093
1998-1999,LAL,19284.306532149567
1998-1999,MIA,19431.67249375272
1998-1999,MIL,18580.71551390048
1998-1999,MIN,17792.270248163746
1998-1999,NJN,16699.058556353142
1998-1999,NYK,17460.591130260316
1998-1999,ORL,18441.397736149367
1998-1999,PHI,18733.49804147331
1998-1999,PHO,19979.73747012464
1998-1999,POR,19801.841983388247
1998-1999,SAC,19085.317143111024
1998-1999,SAS,20351.36440035357
1998-1999,SEA,18915.626599751547
1998-1999,TOR,18845.940797629457
1998-1999,UTA,20047.809584157996
1998-1999,VAN,16749.79507510251
1998-1999,WAS,17748.50499633749
1999-2000,ATL,28415.33785780428
1999-2000,BOS,29286.4702312395
1999-2000,CHH,30969.377743467467
1999-2000,CHI,20788.12102806818
1999-2000,CLE,26846.202041022854
1999-2000,DAL,30359.27877291774
1999-2000,DEN,28286.29282043269
1999-2000,DET,30426.0007263131
1999-2000,GSW,24489.102656923496
1999-2000,HOU,28726.371311342296
1999-2000,IND,31587.543302389156
1999-2000,LAC,25426.374775493943
1999-2000,LAL,32297.682538438563
1999-2000,MIA,29831.220290850255
1999-2000,MIL,31024.84476460439
1999-2000,MIN,31687.949534639905
1999-2000,NJN,29973.100161211307
1999-2000,NYK,28312.098200012722
1999-2000,ORL,28420.639038453242
1999-2000,PHI,28333.878928818827
1999-2000,PHO,29647.157319646998
1999-2000,POR,32007.596555087464
1999-2000,SAC,30769.57385871955
1999-2000,SAS,31055.038007944346
1999-2000,SEA,30112.820851042492
1999-2000,TOR,30448.268213869655
1999-2000,UTA,31240.130460196702
1999-2000,VAN,27578.735670261012
1999-2000,WAS,28073.06828999748
2000-2001,ATL,24215.501354304866
2000-2001,BOS,28140.043307426156
2000-2001,CHH,30899.545210724227
2000-2001,CHI,26699.80664436855
2000-2001,CLE,27517.29862196087
2000-2001,DAL,31969.252847232547
2000-2001,DEN,30604.09499123195
2000-2001,DET,27389.20465029765
